Designator,Mid X,Mid Y,Rotation,Layer
C1,110.236,-54.864,0.0,bottom
D1,106.426,-59.182,90.0,bottom
D10,86.624,-56.154,180.0,top
D11,86.584,-68.837,180.0,top
D12,99.07,-56.154,180.0,top
D13,99.03,-68.837,180.0,top
D2,36.83,-56.134,180.0,top
D3,36.79,-68.817,180.0,top
D4,49.286,-56.164,180.0,top
D5,49.246,-68.847,180.0,top
D6,61.722,-56.164,180.0,top
D7,61.682,-68.847,180.0,top
D8,74.178,-56.154,180.0,top
D9,74.138,-68.837,180.0,top
HUB75-1,47.513,-33.025,90.0,top
HUB75-2,71.374,-33.02,90.0,top
J1,34.33,-60.181,0.0,top
J10,84.124,-72.901,0.0,top
J11,96.57,-60.201,0.0,top
J12,96.57,-72.901,0.0,top
J2,34.33,-72.881,0.0,top
J3,46.786,-60.211,0.0,top
J4,46.786,-72.911,0.0,top
J5,59.222,-60.211,0.0,top
J6,59.222,-72.911,0.0,top
J7,71.678,-60.201,0.0,top
J8,71.678,-72.901,0.0,top
J9,84.124,-60.201,0.0,top
PWR1,109.728,-42.418,90.0,top
PWR2,109.79,-68.298,90.0,top
Q1,110.236,-60.452,-90.0,bottom
Q10,78.6715,-68.141,180.0,top
Q11,91.1175,-55.392,180.0,top
Q12,91.1175,-68.141,180.0,top
Q13,103.5635,-55.392,180.0,top
Q14,103.5635,-68.141,180.0,top
Q2,104.6095,-80.518,180.0,bottom
Q3,41.3235,-55.372,180.0,top
Q4,41.3235,-68.121,180.0,top
Q5,53.7795,-55.402,180.0,top
Q6,53.7795,-68.151,180.0,top
Q7,66.2155,-55.402,180.0,top
Q8,66.2155,-68.151,180.0,top
Q9,78.6715,-55.392,180.0,top
R1,110.236,-57.404,0.0,bottom
R10,64.77,-56.134,180.0,bottom
R11,65.532,-38.866,90.0,top
R12,64.77,-68.834,180.0,bottom
R13,60.452,-38.892,90.0,top
R14,77.216,-56.134,180.0,bottom
R15,77.988,-38.856,90.0,top
R16,77.216,-68.834,180.0,bottom
R17,72.908,-38.882,90.0,top
R18,89.662,-56.134,180.0,bottom
R19,90.434,-38.856,90.0,top
R2,39.878,-56.134,180.0,bottom
R20,89.662,-68.834,180.0,bottom
R21,85.354,-38.882,90.0,top
R22,102.108,-56.134,180.0,bottom
R23,102.88,-38.856,90.0,top
R24,102.108,-68.834,180.0,bottom
R25,97.8,-38.882,90.0,top
R3,40.64,-38.836,90.0,top
R4,39.878,-68.834,180.0,bottom
R5,35.56,-38.862,90.0,top
R6,52.324,-56.134,180.0,bottom
R7,53.096,-38.866,90.0,top
R8,52.324,-68.834,180.0,bottom
R9,48.016,-38.892,90.0,top
U1,99.7835,-80.518,180.0,bottom
U2,33.02,-50.516,90.0,top
U3,45.476,-50.546,90.0,top
U4,57.912,-50.546,90.0,top
U5,70.368,-50.536,90.0,top
U6,82.814,-50.536,90.0,top
U7,95.26,-50.536,90.0,top
